Type,Conversation Starter
Joke,Why do skeletons not fight each other? They do not have the guts.
Joke,I told my wife she was drawing her eyebrows too high. She looked surprised.
Debate,Should pineapple be allowed on pizza?
Debate,Is it better to have a pet cat or a pet dog?
Question,"If you could visit any country in the world, where would you go and why?"
Question,What is your favorite way to spend a weekend?
Joke,"I used to play piano by ear, but now I use my hands."
Joke,"I told my computer I needed a break, and now it’s frozen."
Debate,Is it better to work remotely or in an office?
Debate,Should social media platforms be regulated more strictly?
Question,What is the most unusual food you have ever tried?
Question,"If you could have dinner with any historical figure, who would it be?"
Joke,"I told my friend 10 jokes to make him laugh. Sadly, no pun in ten did."
Joke,I am reading a book about anti-gravity. It is impossible to put down.
Debate,Should schools require students to learn a second language?
Debate,Is it better to save money or spend it on experiences?
Question,What is the best piece of advice you have ever received?
Question,"If you could instantly learn a new skill, what would it be?"
Joke,I am on a whiskey diet. I’ve lost three days already.
Joke,Parallel lines have so much in common. It is a shame they will never meet.